"日期","收市","開市","高","低","成交量","升跌（%）"
"2002年4月3日","118.000","118.200","118.240","117.830","1.00K","-0.20%"
"2002年4月2日","118.240","118.410","118.490","118.050","1.29K","0.04%"
"2002年4月1日","118.190","118.930","118.950","117.960","4.23K","-0.73%"
"2002年3月28日","119.060","118.800","119.220","118.860","0.76K","0.13%"
"2002年3月27日","118.910","118.590","119.000","118.630","0.73K","0.25%"
"2002年3月26日","118.610","118.500","118.970","118.200","0.66K","0.07%"
"2002年3月25日","118.530","118.540","118.700","118.400","0.21K","0.02%"
"2002年3月22日","118.510","118.030","118.680","118.020","1.22K","0.50%"
"2002年3月21日","117.920","117.550","118.080","117.520","0.63K","0.24%"
"2002年3月20日","117.640","118.210","118.400","117.520","0.71K","-0.25%"
"2002年3月19日","117.940","117.950","118.350","117.750","0.45K","0.21%"
"2002年3月18日","117.690","117.610","117.640","117.640","0.01K","0.40%"
"2002年3月15日","117.220","117.100","117.330","116.950","0.23K","-0.10%"
"2002年3月14日","117.340","117.590","117.620","117.060","1.17K","-0.57%"
"2002年3月13日","118.010","118.040","118.300","117.800","0.56K","0.15%"
"2002年3月12日","117.830","117.770","118.420","117.830","1.29K","0.03%"
"2002年3月11日","117.790","117.920","118.070","117.590","0.96K","-0.18%"
"2002年3月8日","118.000","117.300","118.100","117.200","2.32K","1.03%"
"2002年3月7日","116.800","117.280","118.030","116.800","5.66K","-1.02%"
"2002年3月6日","118.000","118.650","118.750","117.880","3.09K","-0.52%"
"2002年3月5日","118.620","118.800","119.320","118.580","1.22K","-0.24%"
"2002年3月4日","118.910","119.450","119.550","118.670","1.14K","-0.49%"
"2002年3月1日","119.490","119.350","119.700","119.100","0.91K","0.18%"
"2002年2月28日","119.280","119.650","119.850","119.180","0.72K","-0.31%"
"2002年2月27日","119.650","119.910","120.000","119.570","0.52K","-0.22%"
"2002年2月26日","119.910","119.020","120.130","119.010","1.39K","0.59%"
"2002年2月25日","119.210","118.610","119.230","118.570","0.34K","0.49%"
"2002年2月22日","118.630","119.250","119.300","118.360","2.38K","-0.53%"
"2002年2月21日","119.260","118.980","119.360","118.970","0.48K","0.16%"
"2002年2月20日","119.070","118.260","119.150","118.350","3.06K","0.50%"
"2002年2月19日","118.480","119.190","119.500","118.260","5.00K","-0.24%"
"2002年2月15日","118.770","118.890","119.020","118.620","0.00K","0.17%"
"2002年2月14日","118.570","118.900","119.120","118.570","1.67K","-0.33%"
"2002年2月13日","118.960","118.580","119.000","118.480","0.39K","0.46%"
"2002年2月12日","118.420","118.480","118.750","118.300","0.38K","-0.20%"
"2002年2月11日","118.660","119.220","119.300","118.350","2.52K","-0.45%"
"2002年2月8日","119.200","119.110","119.350","118.960","0.95K","-0.06%"
"2002年2月7日","119.270","119.900","119.950","119.150","1.64K","-0.23%"
"2002年2月6日","119.550","119.760","120.050","119.330","0.67K","-0.04%"
"2002年2月5日","119.600","119.010","119.860","119.010","0.78K","0.43%"
"2002年2月4日","119.090","120.030","120.080","118.960","2.16K","-0.74%"
